no;restaurant_name;city;district;place;unique_menu;price;google_rating;google_count;platform_rating;platform_count;specialized;beef;chicken;seafood;appetizer;other_dish;dessert;other_poultry;takeaway;delivery;outdoor;smoking_area;alcohol_served;wifi;reservation;other
78;Liberte;South Jakarta;SCBD;Pacific Place;Premium T-Bone;169000; 4.6 ;415; 3.9 ;157;Italian;tenderloin, striploin, rib eye, tomahawk, t-bone;roasted, cordon bleu, parmigiana;lobster, fish and chips, salmon, baramundi, gindara, dory;cheese, buratta, meatball, fries, soup, salad, pasta etc;pizza, fries, croissant;pizza, pannacotta, cake, cream brulee, calzone;seafood, lamb;yes;yes;no;no;beer, cocktail, liquor, wine;yes;yes;corkage fee
79;Carbon;South Jakarta;Setiabudi;MD Place Building;Denver Steak 200gr;295000; 4.7 ;159; 4.3 ;6;Mexican;sirloin, mignon, wagyu;roasted;salmon, lobster;soup, seafood, quesadillas, taco;fries, fried rice, pasta, chips, sashimi etc;cake, churros, sorbet, fruit salad, tart, cream brulee;seafood, duck, vegetables;yes;yes;no;yes;wine, beer;yes;yes;private room
80;Bakerzin;South Jakarta;Senayan;Plaza Senayan;The Middleweight;188000; 4.3 ;616; 4.2 ;547;Western;sirloin, rib eye;roasted, grilled;salmon, dory, barramundi ;soup, salad, fries, quesadilas, nachos, bread;burger, sandwich, pasta, rice plate, steamed rice etc;cake, souffle, pannacotta, smootie, pancake, cream brulee etc;seafood, duck;yes;yes;no;no;no;yes;yes;no
81;The Brotherhood;South Jakarta;Senopati;Owned place;T-Bone Steak;880000; 4.5 ;321; 4.0 ;137;Western;sirloin, tenderloin, tomahawk, t-bone, brisket;no;squid, fish and chips;fries, meatball;burger, meatball, stew;crepes, churros;pork, seafood, lamb;yes;no;no;yes;cocktail, whiskey, cigar, rum, liquor etc;yes;yes;private room, live music, live entertainment
82;Yawara;South Jakarta;Senopati;Owned place;Prime Kuroge Chateaubriand;980000; 4.6 ;473; 4.2 ;168;Japanese;sirloin, tenderloin, ribs, tongue, wagyu;no;salmon, prawn, scallop, white fish, lobster, squid, abalone;salad, kimchi, jijimi, sushi, sashimi;rice plate, steamed rice, soup, udon, bibimyeon;ice cream, fruit, sorbet;seafood;yes;no;no;no;beer;no;yes;private room
83;Queen's Head;South Jakarta;Kemang;Owned place;Braised Beef Pie and Chips;140000; 4.4 ;716; 4.1 ;240;British;tenderloin, rib eye, ribs;roasted;salmon, barramundi, prawn, fish and chips;soup, salad, pasta, bread, fries;rice plate, fries etc;cake, tart, pudding, pannacotta;seafood;yes;no;yes;yes;wine, beer liquor, sparkle;yes;yes;kids menu, bar
84;Hurricane's Grill;South Jakarta;Senopati;Owned place;Signature Beef Ribs Half Rack;368000; 4.4 ;1470; 4.3 ;502;Western;sirloin, tenderloin, rib eye, ribs, chaeaubriand, tomahawk;grilled;salmon, barramundi, fish and chips;soup, salad, garlic bread, garlic mushroom, fries etc;sandwich, pasta, croissant, bennedict;ice cream, cake, toast, sandwich;pork, seafood, lamb;no;no;no;yes;wine, cocktail, champagne, cocktail, liquor;yes;yes;private room, live entertainment, bar
85;Sumibi;South Jakarta;Gandaria;1 Park Residences;Australian Wagyu T-Bone Steak;460000; 4.7 ;1046; 4.6 ;609;Japanese;t-bone, wagyu;no;tuna, saba, salmon, squid, lobster;salad, sashimi, fries, gyoza, nuts, shime saba etc;sushi, bao, sandwich, okonomiyaki, noodle etc;no;seafood;yes;no;yes;yes;beer, liquor, sake, soju;no;yes;private room
86;William's;South Jakarta;SCBD;Owned place;M9 J'S Wagyu Striploin 200gr;; 4.5 ;1256; 4.2 ;477;Western;striploin, tenderloin;fried;salmon, barramundi, platter;salad, fries;ramen, rice plate;cake, tart, pofferjes, special;seafood, duck;yes;yes;yes;yes;cocktail, liquor;yes;yes;private room, valet parking, bar
87;Lobbyn Sky Terrace;South Jakarta;Kemang;Liberta Hotel;Beef Stroganof;120000; 4.4 ;424; 3.7 ;292;Local Westerned;sirloin, tenderloin, rib eye;roasted, cordon bleu;salmon, fish and chips, platter;soup, salad, fries, quesadilas;pizza, sandwich, burger, pasta, fried rice, rice plate etc;no;seafood;yes;no;yes;yes;wine, beer, cocktail, liquor;yes;yes;live entertainment
88;Bottega Ristorante;South Jakarta;SCBD;Fairgrounds;Porcini Coffee Rubbed Steak;295000; 4.4 ;886; 4.2 ;1419;Western;sirloin, striploin;parmigiana;salmon, fish and chips;soup, salad, fries, quesadilas;fried rice, pasta, risotto, pizza, sandwich, burger;ice cream, cake, pizza;seafood;no;yes;yes;yes;cocktail;yes;yes;live entertainment, bar
89;Amano Steakhouse;West Jakarta;Gajah Mada;Grand Paragon Mall;Crispy Breaded Chicken Steak;80000; 4.3 ;60; 3.4 ;50;Local;sirloin, tenderloin, rib eye;steak, katsu, curry;dory, fish;soup, salad, pasta, garlic bread, chicken wings;fries, fried rice, rice plate etc;mantau, smores, pannacotta, ice cream etc;seafood;yes;no;no;yes;no;yes;yes;kids friendly
90;B'Steak Grill & Pancake;West Jakarta;Green Ville;Owned place;Wagyu Brisket 200gr;285500; 4.6 ;2088; 4.5 ;530;Western;brisket, tenderloin, striploin, rib eye, mignon, ribs, tomahawk, t-bone;grilled, schnitzel, cordon bleu, steak, florentine etc;fish and chips, dory, salmon, snapper;fries, soup, salad, taco, quesadilas;sausage, omelette, burger, pasta, pie etc;pancake, ice cream, banana, toast, sweet drinks;seafood, lamb;yes;yes;no;yes;beer;yes;no;private dining, praying room
91;Barapi Meat and Grill;West Jakarta;Palmerah;Owned place;Prime Rib Eye 200gr;89000; 4.4 ;908; 4.1 ;163;Local;striploin, rib eye;grilled, crispy;no;no;pasta, hotdog, burger, sausages, rice plate;no;no;yes;yes;yes;yes;no;no;yes;live entertainment
92;Steak 21;West Jakarta;Tanjung Duren;Central Park;Sirloin Wagyu 200gr;270000; 4.6 ;1045; 4.4 ;315;Local Westerned;sirloin, tenderloin, wagyu;steak, grilled, crispy, cordon bleu;salmon, gindara, snapper, tuna;soup, salad, pasta;burger, fries, fried rice, seafood steaks;banana split, sweet drinks;seafood, lamb;no;no;no;no;no;yes;no;buffet
93;Meat Me Cafe & Butchery;West Jakarta;Kota;Owned place;Angus Sirloin 150gr + Chicken Steak;115000; 4.3 ;159; 3.6 ;65;Local Westerned;sirloin, tenderloin, rib eye, brisket;parmigiana;fish and chips, salmon;salad, nachos, fries, soup, pasta;fried rice, rice bowl, rice plate etc;no;seafood, duck;yes;no;no;no;beer;yes;yes;no
94;Holycow! Puri Indah;West Jakarta;Puri Indah;Lippo Mall Puri St. Moritz;Tokusen Wagyu Rib Eye;139000; 4.4 ;125; 4.0 ;283;Local Westerned;sirloin, tenderloin, rib eye, wagyu etc;steak;platters;fries;pasta;ice cream, cake, sweet drinks;seafood;yes;no;no;no;no;yes;no;breakfast, kids friendly
95;Fiesta Steak;West Jakarta;Tanjung Duren;Mall Taman Anggrek;Jujuyaki Steak;52727; 3.5 ;22; 3.4 ;75;Local;sirloin, tenderloin, rib eye, wagyu;steak, grilled, fried;salmon;soup, pasta, salad, chicken pop;fish and chips, salmon, fries, rice plate;no;seafood;no;no;no;no;no;no;yes;no
96;Warung Steak 76;West Jakarta;Palmerah;Owned place;Steak Combo Jumbo Keju Mayonaise;35000; 4.4 ;404; 3.5 ;95;Local;sirloin, tenderloin, grounded;steak, cordon bleu;dory;no;sausage, seafood, rice plate, kway teow etc;no;seafood;yes;no;no;no;no;no;no;no
97;American Grill;West Jakarta;Roxy;Owned place;Filet Amignon & Malibu Chicken;325000; 3.5 ;83; 2.7 ;23;Western;ribs, rib eye, striploin, sirloin etc;yes, various chicken steak;calamari, salmon, platters;no;seafood steaks, fries etc;no;seafood;yes;no;no;no;wine, beer;yes;yes;breakfast
98;Wb. Steak;West Jakarta;Daan Mogot;Mall Matahari;WB Steak Tokusen Rib Eye 160gr;95000; 4.3 ;146; 3.8 ;54;Local;sirloin, tenderloin, rib eye;steak, grilled, cordon bleu;dory, salmon;garlic bread, fries, pasta;rice plate, fried rice;ice cream;seafood;yes;no;no;no;no;yes;yes;no
99;D'Core;West Jakarta;Slipi;Menara Citicon;Norwegian Salmon Steak;140000; 4.3 ;38; 3.1 ;4;Local Westerned;sirloin, tenderloin, ribs;barbeque, cordon bleu;fish and chips;soup, salad, fries;omelette, noodle, rice plate, fried rice;toast, banana, sweet drinks;seafood;yes;no;no;no;no;yes;yes;no
100;Maison Tatsuya;West Jakarta;Tanjung Duren;Central Park;Tatsuya Course;458000; 4.5 ;308; 4.3 ;208;Japanese;sirloin, tenderloin, rib eye, wagyu;grilled;salmon, cuttle fish, prawn;fried rice, miso soup;no;ice cream;seafood, vegetables, tofu;yes;no;no;no;beer;no;yes;teppanyaki
101;Abuba Steak;West Jakarta;Cengkareng;Ruko Citra Garden 6;Salmon Steak;98000; 4.3 ;1137; 4.1 ;266;Local Westerned;sirloin, tenderloin, rib eye, wagyu, t-bone;steak;salmon, gindara, dory;fries, pasta, salad;no;ice cream, pudding, cake;seafood, lamb;yes;yes;no;no;no;no;no;no
102;Tamani Cafe;West Jakarta;Cengkareng;Ciffest;Wagyu Minute Steak;124000; 4.4 ;605; 3.5 ;42;Local Westerned;sirloin, tenderloin, wagyu;steak, crispy, picatta, cordon bleu, mushroom;salmon, dory, prawn, fish and chips;soup, salad, fries;rice plate, fried rice, steamed rice, noodle etc;ice cream, cake, es doger, pudding, sweet drinks;seafood;yes;yes;no;yes;no;yes;yes;no
103;Holycow! Kebon Jeruk;West Jakarta;Kebon Jeruk;Owned place;Buddy's Special;99000; 4.6 ;4091; 4.5 ;510;Local Westerned;sirloin, tenderloin, rib eye, wagyu, hokubee;steak;salmon;no;meatballs, salmon, fries etc;gelato, cake, pancake;seafood;no;no;yes;yes;no;yes;yes;no
104;Meaters Steak & Ribs;West Jakarta;Cengkareng;Ruko Citra Garden 6;Honey Baby Back Ribs Large;149000; 4.4 ;563; 4.1 ;238;Local;sirloin, tenderloin, ribs, wagyu;steak, grilled, honey, teriyaki;fish and chips;nachos, fries;knuckle, pasta, fries;no;pork, seafood;yes;no;yes;no;beer;yes;yes;no
105;Djakarta's Steak;West Jakarta;Tanjung Duren;Owned place;Triple Sirloin;25000; 4.2 ;1912; 3.6 ;255;Local;sirloin, tenderloin, rib eye, ribs;steak, schnitzel;dory, snapper, marlin, tuna, gindara, salmon;fries, garlic bread, sandwich;pasta, fried rice;sweet drinks;seafood;yes;no;no;yes;no;yes;yes;no
106;Gandy Steak House;West Jakarta;Green Ville;Ruko Green Garden;Grilled Australian Lamb Leg;129000; 0.0 ;0; 3.3 ;68;Western;sirloin, tenderloin, rib eye, ribs;steak, schnitzel, cordon bleu etc;salmon, fish, prawn, platter, fish and chips;soup, salad, pasta, garlic bread, quesadilas;sandwich, schnitzel, burger, fries etc;ice cream, gelato;seafood, lamb;no;no;no;no;cocktail, wine, beer;yes;yes;no
107;Dunia Steak;West Jakarta;Grogol;Owned place;DS Steak Platter;63500; 4.3 ;1093; 2.9 ;49;Local;sirloin, tenderloin, rib eye;steak, cordon bleu, parmigiana, wings;dory, tuna;salad;pasta, noodle, fried rice, fries;sweet drinks;seafood;yes;yes;no;no;no;yes;no;no
108;Obonk Steak & Ribs;West Jakarta;Palmerah;Owned place;Chicken Cheese HP;35000; 4.3 ;956; 2.8 ;43;Local;sirloin, tenderloin, ribs, t-bone;steak, grilled, barbeque;calamary;no;fries, pasta;sweet drinks;seafood;yes;no;no;no;no;yes;no;no
109;Waroeng Steak & Shake;West Jakarta;Grogol;Owned place;Rib Eye New Zealand;80000; 4.2 ;5094; 2.4 ;159;Local;sirloin, tenderloin, rib eye;steak, cordon bleu;fish steak, grilled;no;chicken rice;sweet drinks;seafood;yes;no;yes;no;no;yes;no;no
110;SOULSPIN;West Jakarta;Cengkareng;Owned place;Full Rack BBQ Baby Back Ribs;389000; 4.5 ;286; 3.9 ;62;Western;sirloin, striploin, tenderloin, rib eye, ribs, t-bone;fries;salmon, fish and chips;pasta;fries, rice plate, fried rice, pasta;ice cream, crepes, waffle, sweet drinks;seafood, pork;yes;yes;no;yes;wine, beer, sprits, soju, liquor etc;yes;yes;private room, live entertainment, bar
111;Pepperloin Steakhouse;North Jakarta;Pantai Indah Kapuk;Ruko The Metro;Sanchoku Wagyu Rib Eye 200gr;210000; 4.5 ;554; 4.2 ;259;Japanese;sirloin, tenderloin, rib eye, wagyu, hokubee;steak, wings;salmon;fries;pasta, garlic bread;ice cream;seafood;yes;no;no;no;no;yes;yes;no
112;Holycow! Pantai Indah Kapuk;North Jakarta;Pantai Indah Kapuk;Ruko Gold Coast;Australian Prime Big Bite Sirloin;170000; 4.5 ;1098; 4.2 ;181;Local Westerned;sirloin, tenderloin, rib eye, wagyu, hokubee;steak;salmon;no;meatballs, salmon, fries etc;gelato, cake, pancake;seafood;yes;no;no;no;no;yes;yes;no
113;Street Steak;North Jakarta;Kelapa Gading;Owned place;Park Lane Steak 200gr;129000; 4.5 ;985; 4.5 ;934;Western;sirloin, tenderloin, rib eye, wagyu, tomahawk;schnitzel, grilled, cordon bleu;salon, dory, fish and chips;salad, fries, pasta;no;ice cream, banana;seafood;yes;no;no;no;no;yes;no;private room, prayer room
114;B'Steak Grill & Pancake;North Jakarta;Kelapa Gading;Mall Artha Gading;Victorian Tenderloin;268500; 4.6 ;1148; 4.3 ;263;Western;brisket, tenderloin, striploin, rib eye, mignon, ribs, tomahawk, t-bone;grilled, schnitzel, cordon bleu, steak, florentine etc;fish and chips, dory, salmon, snapper;fries, soup, salad, taco, quesadilas;sausage, omelette, burger, pasta, pie etc;pancake, ice cream, banana, toast, sweet drinks;seafood, lamb;yes;yes;no;no;beer;yes;yes;no
115;Meaters Steak & Ribs;North Jakarta;Pantai Indah Kapuk;Ruko Elang Laut;Honey Baby Back Ribs Regular;79000; 4.3 ;505; 4.1 ;239;Local;sirloin, tenderloin, ribs, wagyu;steak, grilled, honey, teriyaki;fish and chips;nachos, fries;knuckle, pasta, fries;no;pork, seafood;yes;no;no;no;beer;yes;yes;no
116;Warung Wagyu;North Jakarta;Sunter;Food Market Sunter;Rib Eye Australia;95000; 4.5 ;108; 3.7 ;24;Local;sirloin, tenderloin, rib eye;karaage, schnitzel, geprek;no;no;rice bowl;no;no;yes;yes;no;yes;no;yes;no;live entertainment
117;Joni Steak;North Jakarta;Kelapa Gading;Owned place;Secondary Cut Wagyu 200gr;90000; 4.5 ;3102; 3.9 ;231;Local;sirloin, rib eye, wagyu;steak, schnitzel, burger, cordon bleu etc;prawn, salmon, fish and chips;pasta;pizza, fries;banana split, cream brulee;seafood;yes;no;yes;no;no;no;yes;no
118;BarBarRibs;North Jakarta;Kelapa Gading;Mahaka Square;Volcano and The Ring of Fire;299000; 4.4 ;86; 3.8 ;43;Western;ribs;lolypops;no;salad, fries, pasta;burger, taco, pasta, knuckle etc;sweet drinks, dessert of the day;pork;yes;no;no;no;beer;no;yes;kids friendly
119;Alter Five Beer & Restaurant;North Jakarta;Mangga Dua;Mangga Dua Square;Wagyu Rib Eye Steak;330000; 5.0 ;6; 3.7 ;14;Western;sirloin, tenderloin, rib eye, wagyu, wellington;roasted, cordon bleu, wings, stuffed, piccata etc;dory, salmon;no;fried rice, fries, hamburg etc;cheese tart, apple pie;seafood, lamb;yes;no;yes;yes;beer;yes;yes;no
120;Abuba Steak;North Jakarta;Kelapa Gading;Owned place;New Zealand Lamb Chop;95000; 4.4 ;2666; 3.9 ;275;Local Westerned;sirloin, tenderloin, rib eye, wagyu, t-bone;steak;salmon, gindara, dory;fries, pasta, salad;no;ice cream, pudding, cake;seafood, lamb;no;yes;yes;no;no;yes;yes;no
121;Kapten Steak;North Jakarta;Sunter;Ruko Taman Nyiur;Kolonel Burger Steak;68000; 4.3 ;626; 3.8 ;117;Local;sirloin, tenderloin, rib eye;steak, spiral, katsu, grilled, teriyaki, cordon bleu;salmon, gindara, fish and chips;salad, shumai, rujak, nachos, croissant, fries;rice plate, fried rice, beehoon, pasta, sandwich;ice cream, sweet drinks;seafood, lamb;no;no;yes;no;beer;yes;yes;no
122;Steak 21 Buffet;North Jakarta;Kelapa Gading;Mall Kelapa Gading;Paket C Supreme;368000; 4.2 ;45; 3.7 ;10;Western;sirloin, tenderloin, rib eye, ribs, tongue;steak;salmon, shrimp;no;no;no;seafood, lamb;no;no;no;no;no;no;yes;buffet
123;Aya Steak;North Jakarta;Sunter;Owned place;Rib Eye Large;50000; 4.3 ;485; 3.4 ;19;Local;sirloin, tenderloin, rib eye;steak;salmon, fish and chips;pasta;rice plate, burger, chicken wings, fries etc;es sop buah, es kacang merah, es jelly;seafood, lamb;yes;yes;no;no;no;no;yes;no
124;Steak Gunting;North Jakarta;Pantai Indah Kapuk;Ruko Cordoba;Wagyu OZ;199000; 4.4 ;1153; 3.5 ;305;Local Westerned;sirloin, rib eye, wagyu;steak;dory fish and chips;no;shumai;no;seafood;yes;yes;no;no;no;no;yes;no
125;Fiesta Steak;North Jakarta;Penjaringan;Emporium Pluit Mall;Sheriff Steak;95454; 3.8 ;24; 2.9 ;10;Local;sirloin, tenderloin, rib eye, wagyu;steak, grilled, fried;salmon;soup, pasta, salad, chicken pop;fish and chips, salmon, fries, rice plate;no;seafood;yes;no;no;no;no;no;no;no
126;Good Friend;North Jakarta;Sunter;Ruko Plaza Sunter Terrace;Norwegian Salmon Grill;158000; 4.4 ;122; 3.4 ;17;Local Westerned;sirloin, tenderloin, wagyu;steak, grilled, cordon bleu;salmon, fish and chips;soup, garlic bread, fries;various meatball, tomyam, shabu shabu, udon etc;no;seafood;no;no;no;no;no;no;yes;praying room, kids friendly
127;Holy Smokes;North Jakarta;Pantai Indah Kapuk;Ruko Cluster Garden House;Wagyu Brisket Fatty 180gr (meat only);160000; 4.5 ;258; 4.4 ;426;Western;brisket, ribs, fillet, rib eye, porterhouse, wagyu;barbeque, fried;salmon;fries;burger, sandwich, fries, pork chop etc;pudding, bread, cake, tart, pannacotta;pork, seafood;yes;no;no;no;no;yes;yes;no
128;Parkiran Steak & Bar;North Jakarta;Sunter;Owned place;Parkiran T-Bone 200gr;122000; 0.0 ;0; 3.0 ;5;Local Westerned;sirloin, tenderloin, rib eye, t-bone, cube;grilled;salmon, tuna, dory;salad, pasta;fries, soup, pizza, hot dog, pizza, indomie etc;toast;seafood, lamb;yes;no;no;yes;beer, wine, whiskey, gin, rum, liquor etc;yes;yes;private dining, valet parking, live entertainment, bar
129;The Garden;North Jakarta;Pantai Indah Kapuk;Ruko Garden House;Pleasure Pork Ribs;170000; 4.5 ;1575; 4.4 ;1693;Local Westerned;ribs, t-bone, wagyu;grilled;crab, fish of the day;fries, escargot, chips, burger;soup, rice plate, noodle, beehoon, pizza, bun etc;cake, souffle, crumble, ice cream, churros, parfait;seafood, pork, tofu;yes;yes;no;yes;wine, beer, liquor, cocktail;yes;yes;bar, live music
130;Beatrice Quarters;North Jakarta;Pantai Indah Kapuk;PIK Avenue Mall;Hibachi Steak Hokubee Sirloin;175000; 4.3 ;196; 4.1 ;146;Japanese;sirloin, tenderloin, rib eye;grilled;salmon, dory;salad;pasta, fried rice, mentaiko, fries, healthy bowl;toast;seafood;yes;no;no;no;no;yes;yes;no
131;Frankfurter Hotdog & Steak;North Jakarta;Pluit;Owned place;Salmon Trout;175000; 4.5 ;588; 4.0 ;92;Local Westerned;sirloin, tenderloin, rib eye;steak;salmon, dory;no;sausages, burger, pasta, corrizo;ice cream, sweet drinks;seafood;yes;no;no;no;no;no;no;no
132;PAVVO Kitchen Bar & Lounge;North Jakarta;Pantai Indah Kapuk;Ruko Beach Boulevard;Tomahawk;1850000; 4.6 ;118; 0.0 ;0;Western;tomahawk;no;salmon, prawns, lobster;no;pasta;ice cream, cake, croissant;pork, seafood, duck, lamb;yes;no;no;yes;whiskey, gin, tequila, malt etc;no;yes;live entertainment, bar
133;PVBLIC Bistro & Bar;North Jakarta;Pantai Indah Kapuk;Ruko Elang Laut;US T-Bone Steak;250000; 4.3 ;367; 4.0 ;154;Western;tenderloin, t-bone, brisket;fried;salmon;salad;rice plate, fried rice, noodle, kway teow, fries;no;seafood, pork;no;no;no;yes;beer, soju, liquor;yes;yes;no
134;Holycow! Kalimalang;East Jakarta;Kalimalang;Transmart Carefour;Australian Prime Big Bite Sirloin;170000; 4.6 ;2364; 4.2 ;198;Local Westerned;sirloin, tenderloin, rib eye, wagyu, hokubee;steak;salmon;no;meatballs, salmon, fries etc;gelato, cake, pancake;seafood;yes;no;no;no;no;yes;yes;no
135;The Real Holysteak!;East Jakarta;Cibubur;Trans Studio Mall Cibubur;Wagyu Tenderloin 200gr;199000; 3.2 ;22; 3.9 ;72;Local Westerned;sirloin, tenderloin, rib eye, ribs, wagyu;yes;fish and chips, salmon;soup, pasta, spinach;burger, mac and cheese balls etc;pannacotta, banana fritters, cake;seafood, vegetables;yes;no;no;no;no;no;yes;no
136;Abuba Steak;East Jakarta;Klender;Owned place;New Zealand Sirloin ;97000; 4.4 ;2198; 3.8 ;101;Local Westerned;sirloin, tenderloin, rib eye, wagyu, t-bone;steak;salmon, gindara, dory;fries, pasta, salad;no;ice cream, pudding, cake;seafood, lamb;yes;yes;no;no;no;yes;yes;no
137;iSTEAKu;East Jakarta;Cibubur;Owned place;AUS Wagyu Meltique Rib Eye 150gr;119000; 4.5 ;140; 3.9 ;49;Local Westerned;striploin, tenderloin, rib eye, wagyu;parmigiana, maryland, grill;no;quesadila, fries, nachos;pasta, soup, rice plate, fried rice, burger etc;ice cream, cake, sweet drinks;no;no;no;no;no;no;no;yes;praying room
138;Steak 21;East Jakarta;Cakung;AEON Mall;Prime Sirloin Original Regular;107000; 4.3 ;72; 3.9 ;37;Local Westerned;sirloin, tenderloin, wagyu;steak, grilled, crispy, cordon bleu;salmon, gindara, kakap, tuna;soup, salad, pasta;burger, fries, fried rice;banana split, sweet drinks;seafood, lamb;yes;no;no;yes;no;yes;yes;no
139;Steak 21;East Jakarta;Klender;Buaran Plaza;Prime Sirloin Original Regular;107000; 3.6 ;11; 3.3 ;23;Local Westerned;sirloin, tenderloin, wagyu;steak, grilled, crispy, cordon bleu;salmon, gindara, kakap, tuna;soup, salad, pasta;burger, fries, fried rice;banana split, sweet drinks;seafood, lamb;yes;no;no;no;no;yes;yes;no
140;Blue Fire Steakhouse;East Jakarta;Duren Sawit;Owned place;Wagyu Top Blade;106000; 4.6 ;374; 4.0 ;60;Local Westerned;sirloin, wagyu;grilled;dory, fish and chips;soup, potato wedges;pasta, fried rice, burger, sandwich;no;seafood;yes;yes;yes;yes;no;no;yes;praying room
141;Waroeng Steak & Shake;East Jakarta;Kalimalang;Owned place;Steak Waroeng with Cheese Sauce;32727; 4.5 ;3513; 3.4 ;19;Local;sirloin, tenderloin, rib eye;steak, cordon bleu;fish steak, grilled;no;chicken rice;sweet drinks;seafood;yes;no;no;no;no;no;no;no
142;Fiesta Steak;East Jakarta;Cibubur;Mall Ciputra;Wagyutaki Steak;123636; 4.1 ;117; 2.7 ;33;Local;sirloin, tenderloin, rib eye, wagyu;steak, grilled, fried;salmon, fish and chips;soup, pasta, salad, chicken pop;fries, rice plate;no;seafood;no;no;no;no;no;yes;no;no
143;Andakar;East Jakarta;Kramat Jati;Owned place;Burger Steak;56000; 4.4 ;967; 2.8 ;39;Local;sirloin, tenderloin, rib eye, ribs;steak, fried, filet;fish and chips, salmon, dory;lasagna, fries, nachos;burger, fries etc;ice cream;seafood, lamb;yes;no;yes;no;no;yes;no;no
144;Obonk Steak & Ribs;East Jakarta;Klender;Owned place;Steak Tepung Beef Double;32000; 4.4 ;361; 2.7 ;17;Local;sirloin, tenderloin, rib eye, ribs;steak, cheese, cordon bleu;tuna, gindara;soup, fries;no;sweet drink;seafood;yes;no;no;no;no;no;no;no
145;Holycow! Halim Perdanakusuma;East Jakarta;Makasar;Bandara Halim Perdanakusuma;Australian Prime Big Bite Sirloin;170000; 4.1 ;491; 2.4 ;32;Local Westerned;sirloin, tenderloin, rib eye, wagyu, hokubee;steak;salmon;no;meatballs, salmon, fries etc;gelato, cake, pancake;seafood;yes;no;no;no;no;yes;no;breakfast, kids friendly
146;Industrial Steak & Blend;East Jakarta;Kramat Jati;Owned place;Sirloin Crispy Steak;41000; 4.4 ;336; 3.1 ;17;Local;sirloin, tenderloin;steak;no;no;rice plate, fried rice, noodle, fries, pasta etc;ice cream, waffle, pancake, gelato;no;yes;no;no;yes;no;yes;no;kids friendly
147;Besteak;East Jakarta;Cijantung;Cijantung Mall;Mozarella Sirloin;57000; 3.8 ;14; 2.6 ;30;Local;sirloin, tenderloin;steak, cordon bleu, teriyaki;no;no;rice plate, fried rice, noodle, fries etc;sweet drink;no;yes;no;no;no;no;no;no;no
148;Roellie's;East Jakarta;Cibubur;SPBU Cibubur;Fried Chicken Steak;63500; 0.0 ;0; 2.4 ;12;Local;sirloin, tenderloin;steak, grilled, fried;no;fries, soup, salad, pasta;sop buntut, rawon;ice cream, sweet drinks;duck;yes;yes;no;no;no;no;no;no
149;OMG Octav's Meat & Grill;East Jakarta;Cibubur;Blockbooster;Grill Ribs Large 1000gr;170000; 4.4 ;939; 3.6 ;35;Local Westerned;sirloin, tenderloin, rib eye, ribs;steak, grilled, fried, parmigiana;salmon, fish and chips;fries, soup, salad;burger, rice plate, fried rice, rice bowl, pasta;ice cream, toast, donuts, pannacotta, cake;seafood;yes;no;no;yes;beer;yes;yes;kids menu, praying room, live entertainment
150;El Bana Steak & Ribs;East Jakarta;Jatinegara;Owned place;Chicken Steak;32000; 4.2 ;155; 3.2 ;17;Local;sirloin, tenderloin;steak, katsu karaage, cordon bleu;yes;no;fried rice, burger, pasta, omelette;sweet drinks;seafood;yes;no;no;no;no;no;no;no
